idcl;identifier;version number;publication date;revision number;coded name;preferred name;definition;note;iso language code;iso country code;remark;level;mksubclass;mksynonym;mkbsa
AKJ644002;AKJ644;2;27.09.2004;1;17000000;Machine, device (for special applications);;;en;EN;;1;1;;
AKJ645002;AKJ645;2;27.09.2004;1;17010000;Food processing machinery;;;en;EN;;2;1;;
AKJ646002;AKJ646;2;27.09.2004;1;17010100;Bakery machinery;;;en;EN;;3;1;;
AKJ647002;AKJ647;2;27.09.2004;1;17010190;Bakery machinery (unclassified);;;en;EN;;4;0;;
AKJ648002;AKJ648;2;27.09.2004;1;17010200;Meat processing;;;en;EN;;3;1;;
AKJ649002;AKJ649;2;27.09.2004;1;17010290;Meat processing (unclassified);;;en;EN;;4;0;;
AKJ650002;AKJ650;2;27.09.2004;1;17010400;Catering machinery;;;en;EN;;3;1;;
AKJ651002;AKJ651;2;27.09.2004;1;17010490;Catering machinery (unclassified);;;en;EN;;4;0;;
AKJ652002;AKJ652;2;27.09.2004;1;17010700;Pasta processing machinery;;;en;EN;;3;1;;
AKJ653002;AKJ653;2;27.09.2004;1;17010790;Pasta processing machinery (unclassified);;;en;EN;;4;0;;
AKJ654002;AKJ654;2;27.09.2004;1;17010900;Cereal processing machinery;;;en;EN;;3;1;;
AKJ655002;AKJ655;2;27.09.2004;1;17010990;Cereal processing machinery (unclassified);;;en;EN;;4;0;;
AKJ656002;AKJ656;2;27.09.2004;1;17011100;Fish processing machinery;;;en;EN;;3;1;;
AKJ657002;AKJ657;2;27.09.2004;1;17011190;Fish processing machinery (unclassified);;;en;EN;;4;0;;
AKJ658002;AKJ658;2;27.09.2004;1;17019000;Food processing machinery (other);;;en;EN;;3;1;;
AKJ659002;AKJ659;2;27.09.2004;1;17019090;Food processing machinery (other, unclassified);;;en;EN;;4;0;;
AKJ660002;AKJ660;2;27.09.2004;1;17019100;Food processing machinery (parts);;;en;EN;;3;1;;
AKJ661002;AKJ661;2;27.09.2004;1;17019190;Food processing machinery (parts, unclassified);;;en;EN;;4;0;;
AKJ662002;AKJ662;2;27.09.2004;1;17019200;Food processing machinery (accessories, additional equipment);;;en;EN;;3;1;;
AKJ663002;AKJ663;2;27.09.2004;1;17019290;Food processing machinery (accessories, additional equipment, unclassified);;;en;EN;;4;0;;
AKJ664002;AKJ664;2;27.09.2004;1;17019700;Food processing machinery (assembly);;;en;EN;;3;1;;
AKJ665002;AKJ665;2;27.09.2004;1;17019790;Food processing machinery (assembly, unclassified);;;en;EN;;4;0;;
AKJ666002;AKJ666;2;27.09.2004;1;17019800;Food processing machinery (maintenance, service);;;en;EN;;3;1;;
AKJ667002;AKJ667;2;27.09.2004;1;17019890;Food processing machinery (maintenance, service, unclassified);;;en;EN;;4;0;;
AKJ668002;AKJ668;2;27.09.2004;1;17019900;Food processing machinery (repair);;;en;EN;;3;1;;
AKJ669002;AKJ669;2;27.09.2004;1;17019990;Food processing machinery (repair, unclassified);;;en;EN;;4;0;;
